source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date
stocktwits,AAPL,2.06,1.74,0.32,5,6,0.83,39,24,2010/1/19
stocktwits,AAPL,1.78,1.59,0.19,4,3,1.33,16,24,2010/1/20
stocktwits,AAPL,2.38,1.45,0.93,5,2,2.5,26,24,2010/1/21
stocktwits,AAPL,2.11,1.96,0.15,4,4,1,23,24,2010/1/22
stocktwits,AAPL,0,0,0,0,0,0,4,24,2010/1/23
stocktwits,AAPL,0,0,0,0,0,0,5,24,2010/1/24
stocktwits,AAPL,1.49,2.21,-0.72,34,33,1.03,219,24,2010/1/25
stocktwits,AAPL,1.68,1.55,0.13,36,26,1.38,153,24,2010/1/26
stocktwits,AAPL,1.47,1.91,-0.44,31,31,1,252,24,2010/1/27
stocktwits,AAPL,1.76,1.7,0.06,15,10,1.5,67,24,2010/1/28
stocktwits,AAPL,1.08,2.1,-1.02,9,16,0.56,66,24,2010/1/29
stocktwits,AAPL,0,1.54,-1.54,0,3,0,6,24,2010/1/30
stocktwits,AAPL,2.6,2.39,0.21,1,2,0.5,7,24,2010/1/31
stocktwits,AAPL,1.27,2.1,-0.83,5,2,2.5,18,24,2010/2/1
stocktwits,AAPL,1.58,0,1.58,3,0,0,12,24,2010/2/2
stocktwits,AAPL,1.72,2.09,-0.37,6,4,1.5,24,24,2010/2/3
stocktwits,AAPL,0,2.6,-2.6,0,1,0,8,24,2010/2/4
stocktwits,AAPL,1.8,1.95,-0.15,9,5,1.8,24,24,2010/2/5
stocktwits,AAPL,0,0,0,0,0,0,2,24,2010/2/6
stocktwits,AAPL,0,0,0,0,0,0,3,24,2010/2/7
stocktwits,AAPL,1.13,1.33,-0.2,1,1,1,11,24,2010/2/8
stocktwits,AAPL,0,1.4,-1.4,0,1,0,5,24,2010/2/9
stocktwits,AAPL,2,0,2,1,0,0,4,24,2010/2/10
stocktwits,AAPL,0,1.29,-1.29,0,4,0,4,24,2010/2/11
stocktwits,AAPL,1.85,1.83,0.02,9,6,1.5,28,24,2010/2/12
stocktwits,AAPL,0,0,0,0,0,0,1,24,2010/2/13
stocktwits,AAPL,0.33,0,0.33,1,0,0,2,24,2010/2/14
stocktwits,AAPL,0,1.61,-1.61,0,1,0,1,24,2010/2/15
stocktwits,AAPL,1.87,2.03,-0.16,7,4,1.75,24,24,2010/2/16
stocktwits,AAPL,1.3,2.05,-0.75,4,7,0.57,20,24,2010/2/17
stocktwits,AAPL,1.61,2,-0.39,10,7,1.43,25,24,2010/2/18
stocktwits,AAPL,1.45,1.99,-0.54,2,6,0.33,12,24,2010/2/19
stocktwits,AAPL,0,0,0,0,0,0,4,24,2010/2/20
stocktwits,AAPL,0,1,-1,0,1,0,5,24,2010/2/21
stocktwits,AAPL,2.1,1.76,0.34,1,4,0.25,9,24,2010/2/22
stocktwits,AAPL,1.5,1.7,-0.2,1,1,1,7,24,2010/2/23
stocktwits,AAPL,1.93,0.84,1.09,4,2,2,10,24,2010/2/24
stocktwits,AAPL,0,1.98,-1.98,0,3,0,12,24,2010/2/25
stocktwits,AAPL,1.28,1.45,-0.17,2,2,1,9,24,2010/2/26
stocktwits,AAPL,1.97,0,1.97,1,0,0,1,24,2010/2/28
stocktwits,AAPL,2,0,2,7,0,0,14,24,2010/3/1
stocktwits,AAPL,1.03,0.74,0.29,4,2,2,17,24,2010/3/2
stocktwits,AAPL,1.78,1.31,0.47,3,2,1.5,9,24,2010/3/3
stocktwits,AAPL,0,2.1,-2.1,0,1,0,5,24,2010/3/4
stocktwits,AAPL,2.26,1.46,0.8,7,5,1.4,23,24,2010/3/5
stocktwits,AAPL,0.11,0,0.11,1,0,0,1,24,2010/3/6
stocktwits,AAPL,0,0.41,-0.41,0,1,0,3,24,2010/3/7
stocktwits,AAPL,0,1.37,-1.37,0,2,0,7,24,2010/3/8
stocktwits,AAPL,1.95,2.22,-0.27,5,5,1,19,24,2010/3/9
stocktwits,AAPL,1.7,1.67,0.03,1,1,1,4,24,2010/3/10
stocktwits,AAPL,1.34,0,1.34,3,0,0,7,24,2010/3/11
stocktwits,AAPL,1.56,1.53,0.03,9,4,2.25,23,24,2010/3/12
stocktwits,AAPL,2.16,2.6,-0.44,2,1,2,7,24,2010/3/13
stocktwits,AAPL,2,0,2,1,0,0,9,24,2010/3/14
stocktwits,AAPL,1.66,1.65,0.01,6,13,0.46,50,24,2010/3/15
stocktwits,AAPL,2.42,1.99,0.43,2,6,0.33,28,24,2010/3/16
stocktwits,AAPL,2.12,1.94,0.18,8,8,1,34,24,2010/3/17
stocktwits,AAPL,1.25,1.62,-0.37,9,8,1.13,37,24,2010/3/18
stocktwits,AAPL,1.62,1.89,-0.27,19,9,2.11,59,24,2010/3/19
stocktwits,AAPL,2.5,2.28,0.22,1,2,0.5,3,24,2010/3/20
stocktwits,AAPL,0,1.05,-1.05,0,2,0,6,24,2010/3/21
stocktwits,AAPL,1.52,1.52,0,12,9,1.33,47,24,2010/3/22
stocktwits,AAPL,2.08,1.43,0.65,21,10,2.1,67,24,2010/3/23
stocktwits,AAPL,1.62,1.29,0.33,7,5,1.4,33,24,2010/3/24
stocktwits,AAPL,1.6,1.96,-0.36,16,9,1.78,53,24,2010/3/25
stocktwits,AAPL,1.75,1.77,-0.02,17,10,1.7,46,24,2010/3/26
stocktwits,AAPL,1.4,2.04,-0.64,3,4,0.75,12,24,2010/3/27
stocktwits,AAPL,1.78,1.72,0.06,3,2,1.5,7,24,2010/3/28
stocktwits,AAPL,2.13,1.68,0.45,21,13,1.62,88,24,2010/3/29
stocktwits,AAPL,1.44,1.8,-0.36,29,25,1.16,100,24,2010/3/30
stocktwits,AAPL,1.98,1.76,0.22,15,6,2.5,50,24,2010/3/31
